Core and section,Depth [m],Age [Ma],87Sr/86Sr,Error,Hole
17-1,150,6.16,0.70894,0.00001,588
17-1,150,6.16,0.708944,0.00001,588
18-1,159.6,6.51,0.708912,0.000008,588
18-3,162.5,6.55,0.708926,0.00001,588
18-4,164,6.56,0.708899,0.00001,588
18-5,165.55,6.58,0.70889,0.000008,588
19-1,169.2,6.63,0.708965,0.000008,588
19-2,170.7,6.64,0.708896,0.00001,588
19-5,175.2,6.7,0.708915,0.000014,588
19-6,176.7,6.74,0.708933,0.000012,588
19-7,178.2,6.79,0.708916,0.000008,588
20-1,178.8,6.81,0.7089,0.000008,588
20-2,180.3,6.88,0.708931,0.00001,588
20-3,181.8,7.01,0.708908,0.000008,588
20-4,183.3,7.13,0.708926,0.00001,588
20-5,184.75,7.25,0.708857,0.00001,588
21-1,188.4,7.48,0.708926,0.00001,588
21-3,191.4,7.61,0.708958,0.000012,588
21-4,192.9,7.67,0.70892,0.00001,588
21-5,194.4,7.74,0.708928,0.00001,588
21-6,195.9,7.8,0.708932,0.000008,588
21-7,197.4,7.86,0.708925,0.000008,588
22-1,198,7.89,0.708904,0.00001,588
22-4,202.5,8.09,0.708941,0.00001,588
22-6,205.5,8.25,0.708888,0.000008,588
23-1,207.5,8.42,0.708873,0.000008,588
23-2,209.1,8.49,0.708875,0.00001,588
23-3,210.5,8.54,0.708881,0.00001,588
23-4,212,8.59,0.708904,0.00001,588
23-5,213.5,8.64,0.708919,0.000008,588
24-1,217.1,8.78,0.708887,0.00001,588
24-2,218.6,8.88,0.708902,0.00001,588
24-3,220.1,8.99,0.708864,0.00001,588
24-4,221.6,9.1,0.708865,0.00001,588
24-5,223.1,9.2,0.708874,0.00001,588
24-6,224.6,9.31,0.708895,0.00001,588
24-6,224.6,9.31,0.708865,0.00001,588
24-7,226.1,9.41,0.708881,0.000012,588
24-7,226.1,9.41,0.708872,0.000008,588
25-1,226.8,9.46,0.708884,0.000008,588
25-2,228.3,9.57,0.708854,0.000008,588
25-3,229.8,9.67,0.708861,0.000008,588
25-4,231.3,9.78,0.708847,0.000008,588
25-5,232.8,9.88,0.708865,0.000008,588
25-7,234.3,9.99,0.708892,0.000012,588
1-2,237.9,10.15,0.708838,0.000008,588A
1-3,239.4,10.31,0.708844,0.00001,588A
1-4,240.9,10.46,0.708835,0.00001,588A
1-5,242.4,10.62,0.708821,0.000008,588A
1-6,243.9,10.77,0.708845,0.00001,588A
1-7,245.4,10.93,0.708821,0.000008,588A
2-1,246,10.99,0.708825,0.000008,588A
2-2,247.5,11.15,0.708814,0.000008,588A
2-3,249,11.31,0.708837,0.00001,588A
3-2,252.5,11.64,0.708824,0.000008,588A
3-3,254,11.76,0.708812,0.00001,588A
4-1,256,11.89,0.70881,0.000008,588A
4-2,257.5,11.99,0.708824,0.000008,588A
4-3,259,12.1,0.708785,0.000008,588A
5-1,261,12.25,0.708817,0.000008,588A
5-2,262.5,12.36,0.708803,0.00001,588A
5-3,264,12.48,0.708791,0.000008,588A
6-1,266,12.63,0.708788,0.000008,588A
6-2,267.5,12.75,0.708823,0.00001,588A
6-3,269,12.87,0.708801,0.00001,588A
6-4,270.5,13,0.708799,0.000008,588A
7-1,271,13.05,0.708795,0.000008,588A
7-2,272.5,13.18,0.708792,0.00001,588A
7-3,274,13.31,0.7088,0.000008,588A
7-4,275.5,13.45,0.708788,0.00001,588A
8-1,276,13.49,0.70877,0.000008,588A
8-2,277.5,13.62,0.708787,0.000008,588A
8-4,280.5,13.89,0.708774,0.000008,588A
9-1,281,13.91,0.708783,0.000008,588A
10-2,287.5,14.18,0.708775,0.000008,588A
10-3,289,14.29,0.70877,0.000012,588A
10-4,289.5,14.33,0.708773,0.000008,588A
11-1,291,14.49,0.708786,0.000008,588A
11-2,292.5,14.75,0.708765,0.00001,588A
11-3,294,15.01,0.708756,0.000008,588A
12-1,296,15.13,0.708762,0.000012,588A
12-2,297.5,15.16,0.708758,0.00001,588A
12-3,299,15.2,0.708734,0.00001,588A
12-4,300.5,15.23,0.708746,0.000008,588A
13-1,301,15.24,0.708753,0.000008,588A
13-2,302.5,15.27,0.708758,0.000008,588A
13-3,304,15.3,0.708737,0.00001,588A
13-4,305.5,15.39,0.708706,0.000008,588A
14-1,306,15.42,0.708698,0.00001,588A
14-2,307.5,15.57,0.708731,0.000008,588A
14-3,309,15.97,0.708717,0.000008,588A
15-1,311,16.49,0.708666,0.000008,588A
15-2,312.5,16.82,0.708655,0.00001,588A
15-3,314,17.15,0.708644,0.000008,588A
15-4,315.5,17.48,0.708625,0.000008,588A
2-1,315.7,15.47,0.708716,0.00001,588C
2-2,317.2,15.74,0.708713,0.000008,588C
2-2t,317.9,15.9,0.708728,0.000008,588C
2-3,318.7,16.07,0.708716,0.00001,588C
2-3t,319.4,16.22,0.708731,0.00001,588C
2-4,320.2,16.4,0.708702,0.00001,588C
2-4+,320.9,16.81,0.708704,0.000008,588C
2-5,321.65,17.26,0.708672,0.000008,588C
2-6,323.15,17.52,0.708667,0.000008,588C
3-1,325.25,17.57,0.708667,0.00001,588C
3-2,326.75,17.6,0.708643,0.000012,588C
3-3,328.25,17.83,0.70861,0.00001,588C
3-4,329.75,18.07,0.708607,0.000012,588C
3-5,331.25,18.31,0.708606,0.000008,588C
3-6,332.75,18.55,0.708557,0.00001,588C
4-1,334.85,18.89,0.708494,0.00001,588C
4-2,336.35,19.12,0.708513,0.000008,588C
4-3,337.85,19.36,0.708512,0.000008,588C
4-4,339.35,19.6,0.708496,0.00001,588C
4-5,340.85,19.84,0.708498,0.00001,588C
4-6,342.35,20.82,0.708484,0.00001,588C
5-1,344.45,20.42,0.708477,0.000008,588C
5-2,345.95,20.63,0.708445,0.000008,588C
5-3,347.45,20.85,0.708455,0.000008,588C
5-4,348.95,21.06,0.708375,0.000008,588C
5-5,350.45,21.27,0.708385,0.000008,588C
6-2,355.55,21.98,0.708359,0.000008,588C
6-4,358.6,22.41,0.708362,0.000008,588C
6-5,360,22.61,0.708335,0.00001,588C
6-6,361.6,22.83,0.708322,0.000008,588C
6-7,363,23.03,0.708308,0.000008,588C
7-1,363.7,23.13,0.708306,0.000008,588C
7-2,365.2,23.34,0.708317,0.000008,588C
7-3,366.7,23.55,0.70829,0.00001,588C
7-4,368.2,23.71,0.708266,0.000008,588C
8-2,374.8,23.87,0.708252,0.000008,588C
8-3,376.3,23.91,0.708261,0.000008,588C
8-4,377.8,23.95,0.708252,0.000008,588C
8-5,379.3,23.99,0.708245,0.000008,588C
8-6,380.8,24.02,0.708262,0.00001,588C
8-7,382.3,24.06,0.708191,0.00001,588C
9-2,384.3,24.11,0.70823,0.00001,588C
9-5,388.8,24.22,0.708243,0.000008,588C
9-6,390.3,24.26,0.708247,0.000008,588C
10-2,393.3,24.33,0.708225,0.00001,588C