87Sr/86Sr,age
0.71358996,1.23685945
0.714785569,1.403565619
0.712554662,1.68238327
0.712247537,1.848066702
0.711508548,2.502423725
0.710882466,2.539875388
0.709994836,2.768968529
0.712716027,2.989782368
0.715596433,3.100919814
0.712306445,3.157219064
0.71021231,3.540648123
0.70948503,4.408708526
0.709542153,4.541420858
0.709713035,4.618710572
0.71101183,5.264934399
0.708542265,5.815215733
0.710090697,5.922408335
0.708588207,6.081809238
0.710409978,6.264538291
0.709009863,6.368711384
0.70845237,6.592155118
0.708634839,6.802936392
0.709909892,6.807855271
0.709101788,6.928635669
0.708635367,7.150520947
0.708578609,7.258444076
0.708920455,7.46649805
0.70859048,7.57909655
0.709148622,7.783449189
0.708203909,7.906567272
0.708682323,8.085546288
0.708443461,8.223323604
0.708113324,8.228973009
0.708216146,8.467855206
0.708637436,8.514121891
0.708353079,8.679415709
0.708763067,8.779351747
0.708672197,8.914596571
0.708273878,9.001626639
0.708490296,9.078137125
0.708251394,9.189177167
0.708411217,9.480559876
0.708775952,9.768436056
0.708115678,9.779734868
0.708492204,10.33478898
0.708822787,10.62324958
0.708959477,10.67438644
0.70812897,11.03619191
0.708255168,11.67574359
0.708688289,12.01592548
0.708107744,12.05259791
0.708415275,12.15428722
0.709020131,13.13324156
0.708496952,13.46304996
0.708304276,14.02784443
0.708201941,14.10980951
0.708874898,14.95390864
0.708510812,15.09382884
0.708682831,15.91976221
0.708216085,15.9277493